Construct;TimePoint;TimeName;Facet;Sample;Sample1;Sample2;Sample3;Sample4;Sample5;Sample6;Sample7;Sample8;Sample9
Rx1_GFP;00:02:02;1;2;5;10;5;17;18;;;;;
Rx1_GFP;00:05:43;2;2;4;6;3;8;14;;;;;
Rx1_GFP;00:09:24;3;2;1;7;5;13;7;;;;;
Rx1_GFP;00:13:05;4;2;3;5;4;10;8;;;;;
Rx1_GFP;00:16:46;5;2;3;7;4;8;5;;;;;
Rx1_GFP;00:20:27;6;2;3;9;4;10;15;;;;;
Rx1_GFP;00:24:08;7;2;2;9;5;11;9;;;;;
Rx1_GFP;00:27:49;8;2;2;8;1;16;9;;;;;
Rx1_GFP;00:31:30;9;2;3;9;2;20;11;;;;;
Rx1_GFP;00:35:11;10;2;2;11;4;11;10;;;;;
Rx1_GFP;00:38:52;11;2;1;14;2;14;11;;;;;
Rx1_GFP;00:42:33;12;2;1;8;3;15;17;;;;;
Rx1_GFP;00:46:14;13;2;1;16;5;17;17;;;;;
Rx1_GFP;00:49:55;14;2;2;11;5;21;11;;;;;
Rx1_GFP;00:53:36;15;2;2;12;3;24;10;;;;;
Rx1_GFP;00:57:17;16;2;1;13;5;22;17;;;;;
Rx1_GFP;01:00:58;17;2;5;12;6;26;14;;;;;
Rx1_GFP;01:04:39;18;2;2;10;2;26;15;;;;;
Rx1_GFP;01:08:20;19;2;2;14;4;25;17;;;;;
Rx1_GFP;01:12:01;20;2;1;19;4;27;13;;;;;
Rx1_GFP;01:15:42;21;2;2;15;4;19;24;;;;;
Rx1_GFP;01:19:23;22;2;1;19;4;21;24;;;;;
Rx1_GFP;01:23:04;23;2;2;14;8;35;28;;;;;
Rx1_GFP;01:26:45;24;2;4;18;5;34;25;;;;;
Rx1_GFP;01:30:26;25;2;2;19;9;35;32;;;;;
Rx1_GFP;01:34:07;26;2;2;19;7;30;25;;;;;
Rx1_GFP;01:37:48;27;2;1;19;7;33;25;;;;;
Rx1_GFP_CP105;00:02:02;1;2;4;4;8;5;3;8;26;;;
Rx1_GFP_CP105;00:05:43;2;2;4;3;5;7;3;9;27;;;
Rx1_GFP_CP105;00:09:24;3;2;3;5;9;19;6;7;28;;;
Rx1_GFP_CP105;00:13:05;4;2;4;6;4;21;3;8;30;;;
Rx1_GFP_CP105;00:16:46;5;2;3;7;3;39;5;13;32;;;
Rx1_GFP_CP105;00:20:27;6;2;8;4;8;52;5;12;23;;;
Rx1_GFP_CP105;00:24:08;7;2;4;5;11;47;3;13;27;;;
Rx1_GFP_CP105;00:27:49;8;2;8;5;5;40;2;7;27;;;
Rx1_GFP_CP105;00:31:30;9;2;6;7;10;37;4;8;26;;;
Rx1_GFP_CP105;00:35:11;10;2;9;2;9;43;5;9;28;;;
Rx1_GFP_CP105;00:38:52;11;2;6;4;10;32;6;9;25;;;
Rx1_GFP_CP105;00:42:33;12;2;11;9;4;35;4;10;32;;;
Rx1_GFP_CP105;00:46:14;13;2;10;11;8;34;4;9;39;;;
Rx1_GFP_CP105;00:49:55;14;2;10;10;9;24;6;15;33;;;
Rx1_GFP_CP105;00:53:36;15;2;13;12;5;18;8;8;22;;;
Rx1_GFP_CP105;00:57:17;16;2;15;10;8;24;6;9;28;;;
Rx1_GFP_CP105;01:00:58;17;2;11;9;15;17;7;11;28;;;
Rx1_GFP_CP105;01:04:39;18;2;9;7;8;17;5;7;27;;;
Rx1_GFP_CP105;01:08:20;19;2;13;10;9;14;8;15;20;;;
Rx1_GFP_CP105;01:12:01;20;2;12;7;8;12;7;11;26;;;
Rx1_GFP_CP105;01:15:42;21;2;9;6;10;21;11;9;24;;;
Rx1_GFP_CP105;01:19:23;22;2;12;4;11;12;7;13;21;;;
Rx1_GFP_CP105;01:23:04;23;2;14;11;6;14;10;13;17;;;
Rx1_GFP_CP105;01:26:45;24;2;17;6;10;10;10;11;19;;;
Rx1_GFP_CP105;01:30:26;25;2;12;7;11;13;9;15;18;;;
Rx1_GFP_CP105;01:34:07;26;2;20;9;6;19;9;14;15;;;
Rx1_GFP_CP105;01:37:48;27;2;20;14;7;19;9;13;13;;;
Rx1_GFP_CP106;00:02:02;1;2;46;67;39;14;36;;;;;
Rx1_GFP_CP106;00:05:43;2;2;64;78;36;22;37;;;;;
Rx1_GFP_CP106;00:09:24;3;2;53;82;27;14;38;;;;;
Rx1_GFP_CP106;00:13:05;4;2;68;86;30;29;28;;;;;
Rx1_GFP_CP106;00:16:46;5;2;58;88;38;30;59;;;;;
Rx1_GFP_CP106;00:20:27;6;2;83;94;26;26;45;;;;;
Rx1_GFP_CP106;00:24:08;7;2;76;110;32;34;50;;;;;
Rx1_GFP_CP106;00:27:49;8;2;79;101;24;30;43;;;;;
Rx1_GFP_CP106;00:31:30;9;2;81;97;48;30;44;;;;;
Rx1_GFP_CP106;00:35:11;10;2;70;109;28;26;48;;;;;
Rx1_GFP_CP106;00:38:52;11;2;84;106;30;29;46;;;;;
Rx1_GFP_CP106;00:42:33;12;2;71;106;27;24;49;;;;;
Rx1_GFP_CP106;00:46:14;13;2;76;143;56;33;54;;;;;
Rx1_GFP_CP106;00:49:55;14;2;78;191;121;73;158;;;;;
Rx1_GFP_CP106;00:53:36;15;2;81;260;267;105;362;;;;;
Rx1_GFP_CP106;00:57:17;16;2;101;249;382;137;513;;;;;
Rx1_GFP_CP106;01:00:58;17;2;108;210;471;134;563;;;;;
Rx1_GFP_CP106;01:04:39;18;2;132;119;391;128;499;;;;;
Rx1_GFP_CP106;01:08:20;19;2;76;83;431;70;386;;;;;
Rx1_GFP_CP106;01:12:01;20;2;71;45;361;46;347;;;;;
Rx1_GFP_CP106;01:15:42;21;2;49;24;334;36;245;;;;;
Rx1_GFP_CP106;01:19:23;22;2;41;19;249;27;177;;;;;
Rx1_GFP_CP106;01:23:04;23;2;24;8;236;25;131;;;;;
Rx1_GFP_CP106;01:26:45;24;2;12;8;203;11;101;;;;;
Rx1_GFP_CP106;01:30:26;25;2;14;5;152;14;80;;;;;
Rx1_GFP_CP106;01:34:07;26;2;14;4;156;9;58;;;;;
Rx1_GFP_CP106;01:37:48;27;2;12;4;121;7;51;;;;;
Rx1_NES_GFP;00:02:02;1;3;12;16;42;10;5;;;;;
Rx1_NES_GFP;00:05:43;2;3;18;14;45;10;6;;;;;
Rx1_NES_GFP;00:09:24;3;3;18;17;53;16;5;;;;;
Rx1_NES_GFP;00:13:05;4;3;20;14;60;24;5;;;;;
Rx1_NES_GFP;00:16:46;5;3;21;24;54;35;5;;;;;
Rx1_NES_GFP;00:20:27;6;3;32;22;67;37;6;;;;;
Rx1_NES_GFP;00:24:08;7;3;33;20;68;45;11;;;;;
Rx1_NES_GFP;00:27:49;8;3;38;21;56;57;10;;;;;
Rx1_NES_GFP;00:31:30;9;3;34;23;71;50;8;;;;;
Rx1_NES_GFP;00:35:11;10;3;39;23;62;46;9;;;;;
Rx1_NES_GFP;00:38:52;11;3;40;28;60;68;5;;;;;
Rx1_NES_GFP;00:42:33;12;3;50;37;66;51;7;;;;;
Rx1_NES_GFP;00:46:14;13;3;42;36;83;63;8;;;;;
Rx1_NES_GFP;00:49:55;14;3;52;39;59;54;9;;;;;
Rx1_NES_GFP;00:53:36;15;3;51;28;60;85;10;;;;;
Rx1_NES_GFP;00:57:17;16;3;47;39;63;80;7;;;;;
Rx1_NES_GFP;01:00:58;17;3;59;42;51;72;8;;;;;
Rx1_NES_GFP;01:04:39;18;3;55;40;34;71;7;;;;;
Rx1_NES_GFP;01:08:20;19;3;53;42;49;53;10;;;;;
Rx1_NES_GFP;01:12:01;20;3;47;42;46;53;9;;;;;
Rx1_NES_GFP;01:15:42;21;3;38;41;44;41;10;;;;;
Rx1_NES_GFP;01:19:23;22;3;43;52;35;32;17;;;;;
Rx1_NES_GFP;01:23:04;23;3;26;49;19;37;11;;;;;
Rx1_NES_GFP;01:26:45;24;3;19;37;21;47;19;;;;;
Rx1_NES_GFP;01:30:26;25;3;12;36;19;29;10;;;;;
Rx1_NES_GFP;01:34:07;26;3;12;36;20;17;18;;;;;
Rx1_NES_GFP;01:37:48;27;3;12;30;13;23;20;;;;;
Rx1_NES_GFP_CP105;00:02:02;1;3;87;22;64;77;89;32;;;;
Rx1_NES_GFP_CP105;00:05:43;2;3;91;28;83;62;132;39;;;;
Rx1_NES_GFP_CP105;00:09:24;3;3;105;37;89;57;131;62;;;;
Rx1_NES_GFP_CP105;00:13:05;4;3;141;70;95;59;139;47;;;;
Rx1_NES_GFP_CP105;00:16:46;5;3;138;102;105;61;138;82;;;;
Rx1_NES_GFP_CP105;00:20:27;6;3;124;140;103;60;164;74;;;;
Rx1_NES_GFP_CP105;00:24:08;7;3;125;167;99;65;140;69;;;;
Rx1_NES_GFP_CP105;00:27:49;8;3;124;176;93;70;135;63;;;;
Rx1_NES_GFP_CP105;00:31:30;9;3;131;197;97;69;164;66;;;;
Rx1_NES_GFP_CP105;00:35:11;10;3;129;188;94;72;172;76;;;;
Rx1_NES_GFP_CP105;00:38:52;11;3;151;219;90;82;164;75;;;;
Rx1_NES_GFP_CP105;00:42:33;12;3;141;369;97;91;201;73;;;;
Rx1_NES_GFP_CP105;00:46:14;13;3;164;402;90;88;175;76;;;;
Rx1_NES_GFP_CP105;00:49:55;14;3;159;400;89;77;196;76;;;;
Rx1_NES_GFP_CP105;00:53:36;15;3;160;404;97;102;234;74;;;;
Rx1_NES_GFP_CP105;00:57:17;16;3;146;397;99;80;237;79;;;;
Rx1_NES_GFP_CP105;01:00:58;17;3;154;419;107;81;228;71;;;;
Rx1_NES_GFP_CP105;01:04:39;18;3;172;397;92;86;223;75;;;;
Rx1_NES_GFP_CP105;01:08:20;19;3;150;385;103;91;184;68;;;;
Rx1_NES_GFP_CP105;01:12:01;20;3;162;379;122;76;182;83;;;;
