Construct;Time;Fluorescence;person
CP105;0;0,2;marijn 22-05
CP105;0;0,56;
CP105;0;0,3;
CP106;0;0,38;marijn 22-05
CP106;0;0,62;
CP106;0;0,42;
CP105;1;0,39;Marijn 08-06
CP105;1;0,39;Marijn 08-06
CP105;1;0,26;Marijn 08-06
CP105;1;0,6;
CP105;1;0,62;
CP106;1;0,54;Marijn 08-06
CP106;1;0,59;
CP106;1;0,61;
CP105;2;0,33;marijn 22-05
CP105;2;0,39;marijn 22-05
CP105;2;0,48;
CP105;2;0,33;
CP105;2;0,35;
CP105;2;0,45;
CP106;2;0,71;
CP106;2;0,68;
CP106;2;0,76;
CP106;2;0,91;
CP105;3;0,37;Marijn 15-06
CP105;3;0,4;marijn 22-05
CP105;3;0,32;Marijn 24-05
CP105;3;0,51;
CP105;3;0,46;
CP106;3;0,61;Marijn 15-06
CP106;3;0,6;Marijn 08-06
CP106;3;1,02;Marijn 08-06
CP106;3;0,76;
CP106;3;0,97;
CP105;4;0,31;Marijn 08-06
CP105;4;0,42;
CP105;4;0,4;
CP105;4;0,49;Marijn 24-05
CP106;4;1,07;
CP106;4;0,94;
CP106;4;0,85;
CP106;4;0,8;
