Experiment;Construct;PercentHead;TimePoint
NN;CP106;98,7532;0
NN;CP106;99,3765;0
NN;CP106;99,971;0
NN;CP106;99,9929;0
NN;CP106;99,9985;0
NN;CP106;100;0
NN;CP106;100;0
NN;CP106;85,8016;0
NN;CP106;89,3976;0
NN;CP106;93,027;0
NN;CP106;93,0477;0
NN;CP106;93,5673;0
NN;CP106;96,9201;0
NN;CP106;97,4957;0
NN;CP106;99,0063;0
NN;CP106;99,9967;0
NN;CP106;99,9977;0
NN;CP106;89,9927;0
NN;CP106;90,0237;0
NN;CP106;95,8257;0
NN;CP106;97,9993;0
NN;CP106;98,2237;0
NN;CP106;98,2712;0
NN;CP106;98,4646;0
NN;CP106;99,3771;0
NN;CP106;99,9948;0
NN;CP106;99,9952;0
NN;CP106;99,9963;0
NN;CP106;99,9964;0
NN;CP106;87,8477;0
NN;CP106;89,3523;0
NN;CP106;95,1718;0
NN;CP106;99,4155;0
NN;CP106;99,7103;0
NN;CP106;96,2556;0
NN;CP106;97,6345;0
NN;CP106;98,2239;0
NN;CP106;98,7668;0
NN;CP106;99,9925;0
NN;CP106;99,9949;0
NN;CP106;99,9967;0
NN;CP106;99,9975;0
NN;CP106;100;0
NN;CP106;100;0
NN;CP106;90,6773;0
NN;CP106;92,9335;0
NN;CP106;93,1315;0
NN;CP106;95,4845;0
NN;CP106;96,1439;0
NN;CP106;99,5538;0
NN;CP106;99,8945;0
NN;CP106;99,9904;0
NN;CP106;99,9938;0
NN;CP106;99,9978;0
NN;CP106;99,9989;0
NN;CP106;100;0
NN;CP106;94,3496;0
NN;CP106;94,9927;0
NN;CP106;97,4937;0
NN;CP106;97,6972;0
NN;CP106;98,5168;0
NN;CP106;99,9916;0
NN;CP106;99,9932;0
NN;CP106;99,9951;0
NN;CP106;100;0
NN;CP106;93,4132;0
NN;CP106;94,7604;0
NN;CP106;94,7852;0
NN;CP106;95,2314;0
NN;CP106;98,2468;0
NN;CP106;99,5335;0
NN;CP106;99,7602;0
NN;CP106;99,9931;0
