Construct;Time;Autofluorescence;Experiment
CP105;1;1,038095238;1
CP105;1;0,93346574;1
CP105;1;0,945826645;1
CP105;1;0,91797024;1
CP105;1;0,969267139;1
CP105;1;0,917475728;1
CP105;1;0,933453237;1
CP105;1;0,846860263;1
CP105;1;0,908695652;1
CP105;1;0,946331716;1
CP105;1;0,892744479;1
CP105;1;0,931919261;1
CP105;1;0,935779817;1
CP105;1;0,910877669;1
CP105;1;0,982321291;1
CP105;1;0,963594621;1
CP105;1;0,964627151;1
CP105;1;0,955555556;1
CP105;1;0,938373571;1
CP105;1;0,973490427;1
CP105;1;0,924337206;1
CP105;1;0,924460432;1
CP105;1;0,927350427;1
CP105;1;0,942663043;1
CP105;1;0,939006024;1
CP105;1;0,922216004;1
CP105;1;0,931180691;1
CP105;1;0,979509843;1
CP105;1;0,93407356;1
CP105;1;1,013632719;1
CP105;1;1,008482143;1
CP105;1;0,966195157;1
CP105;1;0,893862613;1
CP105;1;0,971107994;1
CP105;1;0,97311828;1
CP105;1;0,897435897;1
CP105;1;0,93619403;1
CP105;1;0,915327979;1
CP105;1;0,911937378;1
CP105;1;0,937445447;1
CP105;1;0,880148817;1
CP105;1;0,919701214;1
CP105;1;0,936116152;1
CP105;1;0,952068824;1
CP105;1;0,960456003;1
CP105;1;0,921079258;1
CP105;1;0,925888325;1
CP106;1;0,967687647;1
CP106;1;0,967532468;1
CP106;1;0,956353472;1
CP106;1;0,914639011;1
CP106;1;1,005277973;1
CP106;1;0,874022589;1
CP106;1;0,984851962;1
CP106;1;0,956202933;1
CP106;1;0,931824532;1
CP106;1;0,939173192;1
CP106;1;0,930493274;1
CP106;1;0,955871886;1
CP106;1;1,020364983;1
CP106;1;1,088373656;1
CP106;1;1,026409018;1
CP106;1;1,222760291;1
CP106;1;0,968191565;1
CP106;1;0,964522417;1
CP106;1;1,133837553;1
CP106;1;0,954492415;1
CP106;1;0,951300357;1
CP106;1;0,930636968;1
CP106;1;0,916809117;1
CP106;1;0,952250086;1
CP106;1;1,012685644;1
CP106;1;1,012658228;1
CP106;1;0,970719287;1
CP106;1;0,990252294;1
CP106;1;1,076118326;1
CP106;1;0,960789544;1
CP106;1;0,952526022;1
CP106;1;0,941537762;1
CP106;1;0,936555891;1
CP106;1;0,957330416;1
CP106;1;0,92096635;1
CP106;1;0,931323617;1
CP106;1;0,937811484;1
CP106;1;0,95909377;1
CP106;1;0,968315301;1
