Construct;Time;Sample1;Sample2;Sample3;Sample4;Sample5;Sample6;Sample7;Sample8;Sample9;Sample10
flg-22;1;56;43;32;21;17;25;33;7;10;1
flg-22;2;15;3;2;54;2;2;181;5;3;6
flg-22;3;138;6;3;218;7;12;384;104;24;50
flg-22;4;440;18;38;660;85;115;1054;388;161;307
flg-22;5;816;37;121;917;393;502;1353;790;377;1041
flg-22;6;864;84;229;974;724;925;1362;1065;561;1690
flg-22;7;631;156;306;927;935;986;1281;1021;551;1738
flg-22;8;409;198;283;682;939;865;937;862;433;1873
flg-22;9;224;175;248;460;776;793;560;653;329;1697
flg-22;10;120;159;136;269;603;597;293;396;201;1289
flg-22;11;60;142;81;125;419;421;137;254;122;817
flg-22;12;35;121;37;49;256;249;43;128;59;487
flg-22;13;6;52;11;13;140;119;16;43;25;183
control;1;3;7;6;4;6;3;4;6;7;3
control;2;1;4;4;2;3;4;1;2;4;4
control;3;1;2;4;1;2;4;3;1;5;4
control;4;1;2;1;3;2;1;1;2;2;1
control;5;2;1;5;2;2;1;1;2;3;2
control;6;5;4;2;1;2;2;4;4;2;1
control;7;2;4;1;2;2;1;3;1;3;0
control;8;2;4;3;2;2;1;5;3;3;3
control;9;2;3;3;2;2;1;1;3;1;4
control;10;2;1;2;2;2;0;1;3;1;2
control;11;2;2;2;3;2;1;3;2;2;3
control;12;4;1;3;2;1;2;2;1;2;1
control;13;2;1;1;1;1;3;1;2;2;3
