Construct;PercentHead;Time
GFP;75,8973;8
GFP;81,5403;8
GFP;82,1009;8
GFP;83,6365;8
GFP;83,7645;8
GFP;84,2614;8
GFP;84,7657;8
GFP;84,8379;8
GFP;85,5156;8
GFP;85,6089;8
GFP;85,7779;8
GFP;85,9047;8
GFP;86,4921;8
GFP;86,5188;8
GFP;86,9443;8
GFP;87,6249;8
GFP;88,5609;8
GFP;88,5726;8
GFP;88,7967;8
GFP;88,843;8
GFP;89,1104;8
GFP;89,3838;8
GFP;89,6585;8
GFP;89,8721;8
GFP;90,0281;8
GFP;90,243;8
GFP;90,311;8
GFP;90,3642;8
GFP;90,4901;8
GFP;90,5;8
GFP;90,5953;8
GFP;90,7244;8
GFP;90,8694;8
GFP;90,8694;8
GFP;90,9185;8
GFP;90,9849;8
GFP;91,0847;8
GFP;91,11;8
GFP;91,1405;8
GFP;91,1825;8
GFP;91,2267;8
GFP;91,2286;8
GFP;91,2388;8
GFP;91,3267;8
GFP;91,3321;8
GFP;91,3337;8
GFP;91,4524;8
GFP;91,5481;8
GFP;91,6454;8
GFP;91,7469;8
GFP;91,7578;8
GFP;91,765;8
GFP;91,8369;8
GFP;92,0553;8
GFP;92,0553;8
GFP;92,1306;8
GFP;92,1768;8
GFP;92,1961;8
GFP;92,2434;8
GFP;92,2876;8
GFP;92,4512;8
GFP;92,4889;8
GFP;92,5574;8
GFP;92,6783;8
GFP;92,788;8
GFP;92,7884;8
GFP;92,8046;8
GFP;92,8479;8
GFP;93,031;8
GFP;93,038;8
GFP;93,0607;8
GFP;93,2309;8
GFP;93,3012;8
GFP;93,3897;8
GFP;93,4044;8
GFP;93,4565;8
GFP;93,481;8
GFP;93,5045;8
GFP;93,5461;8
GFP;93,5628;8
GFP;93,622;8
GFP;93,6235;8
GFP;93,7271;8
GFP;93,7934;8
GFP;93,8207;8
GFP;93,8359;8
GFP;93,8457;8
GFP;93,858;8
GFP;93,9091;8
GFP;93,9091;8
GFP;93,9511;8
GFP;93,9736;8
GFP;93,9869;8
GFP;94,085;8
GFP;94,0923;8
GFP;94,1124;8
GFP;94,1258;8
GFP;94,1441;8
GFP;94,1547;8
GFP;94,192;8
GFP;94,1996;8
GFP;94,2056;8
GFP;94,2324;8
GFP;94,2794;8
GFP;94,3222;8
GFP;94,3448;8
GFP;94,3739;8
GFP;94,3896;8
GFP;94,4644;8
GFP;94,4673;8
GFP;94,4835;8
GFP;94,5233;8
GFP;94,5497;8
GFP;94,5987;8
GFP;94,6041;8
GFP;94,6049;8
GFP;94,641;8
GFP;94,6814;8
GFP;94,6834;8
GFP;94,7656;8
GFP;94,7733;8
GFP;94,7807;8
GFP;94,7979;8
GFP;94,8515;8
GFP;94,9085;8
GFP;94,9544;8
GFP;94,9602;8
GFP;94,9626;8
GFP;95,0102;8
GFP;95,0208;8
GFP;95,0402;8
GFP;95,0712;8
GFP;95,0843;8
GFP;95,0954;8
GFP;95,1002;8
GFP;95,1144;8
GFP;95,1181;8
GFP;95,1207;8
GFP;95,1283;8
GFP;95,1869;8
GFP;95,21;8
GFP;95,2674;8
GFP;95,2758;8
GFP;95,2981;8
GFP;95,3224;8
GFP;95,335;8
GFP;95,3489;8
GFP;95,359;8
GFP;95,3635;8
GFP;95,3776;8
GFP;95,3831;8
GFP;95,4109;8
GFP;95,4193;8
GFP;95,4382;8
GFP;95,4593;8
GFP;95,4795;8
GFP;95,5207;8
GFP;95,5371;8
GFP;95,5476;8
GFP;95,5516;8
GFP;95,5743;8
GFP;95,5928;8
GFP;95,5979;8
GFP;95,6267;8
GFP;95,6545;8
GFP;95,6687;8
GFP;95,6705;8
GFP;95,671;8
GFP;95,6958;8
GFP;95,6995;8
GFP;95,7035;8
GFP;95,7051;8
GFP;95,7121;8
GFP;95,7687;8
GFP;95,7795;8
GFP;95,8077;8
GFP;95,8207;8
GFP;95,856;8
GFP;95,8776;8
GFP;95,8785;8
GFP;95,8805;8
GFP;95,9217;8
GFP;95,9248;8
GFP;95,9255;8
GFP;95,9495;8
GFP;95,9572;8
GFP;95,9886;8
GFP;95,9925;8
GFP;96,0435;8
GFP;96,065;8
GFP;96,0741;8
GFP;96,0919;8
GFP;96,1601;8
GFP;96,2047;8
GFP;96,2118;8
GFP;96,2407;8
GFP;96,3025;8
GFP;96,3152;8
GFP;96,3193;8
GFP;96,3209;8
GFP;96,3829;8
GFP;96,3994;8
GFP;96,4088;8
GFP;96,4702;8
GFP;96,474;8
GFP;96,4869;8
GFP;96,526;8
GFP;96,5882;8
GFP;96,5952;8
GFP;96,6044;8
GFP;96,6292;8
GFP;96,6361;8
GFP;96,6594;8
GFP;96,6676;8
GFP;96,7071;8
GFP;96,7133;8
GFP;96,7237;8
GFP;96,7248;8
GFP;96,73;8
GFP;96,7701;8
GFP;96,7809;8
GFP;96,7996;8
GFP;96,8028;8
GFP;96,813;8
GFP;96,8262;8
GFP;96,8342;8
GFP;96,8451;8
GFP;96,8677;8
GFP;96,8965;8
GFP;96,9191;8
GFP;96,9383;8
GFP;96,9391;8
GFP;96,9594;8
GFP;97,0482;8
GFP;97,0845;8
GFP;97,0854;8
GFP;97,1571;8
GFP;97,1661;8
GFP;97,1869;8
GFP;97,199;8
GFP;97,2024;8
GFP;97,205;8
GFP;97,2255;8
GFP;97,2295;8
GFP;97,2305;8
GFP;97,2532;8
GFP;97,2677;8
GFP;97,2753;8
GFP;97,3003;8
GFP;97,3029;8
GFP;97,3143;8
GFP;97,325;8
GFP;97,3336;8
GFP;97,342;8
GFP;97,355;8
GFP;97,3599;8
GFP;97,386;8
GFP;97,3956;8
